행정동_코드,행정동_코드_명,자치구,업종_영문,업종_명,실제_소비액,기대_소비액,소비_격차_금액,소비_격차_비율_pct,잔차_ZScore
11440720,성산1동,마포구,지출_총금액,전체_총소비,5268894250.0,4380727012.0,888167238.0,20.27,0.24
11440730,성산2동,마포구,지출_총금액,전체_총소비,8290737000.0,6723064550.0,1567672450.0,23.32,0.272
11440740,상암동,마포구,지출_총금액,전체_총소비,13969417500.0,21745205626.0,-7775788126.0,-35.76,-0.575
11470510,목1동,양천구,지출_총금액,전체_총소비,26294809250.0,20526774511.0,5768034739.0,28.1,0.322
11470520,목2동,양천구,지출_총금액,전체_총소비,4535886000.0,5180815462.0,-644929462.0,-12.45,-0.173
11470530,목3동,양천구,지출_총금액,전체_총소비,6563182000.0,5701601390.0,861580610.0,15.11,0.183
11470540,목4동,양천구,지출_총금액,전체_총소비,5385742000.0,4516171719.0,869570281.0,19.25,0.229
11470550,목5동,양천구,지출_총금액,전체_총소비,13943764500.0,12667313122.0,1276451378.0,10.08,0.125
11470560,신월1동,양천구,지출_총금액,전체_총소비,3954693250.0,3979942513.0,-25249263.0,-0.63,-0.008
11470570,신월2동,양천구,지출_총금액,전체_총소비,3001776500.0,2360083402.0,641693098.0,27.19,0.312
11470580,신월3동,양천구,지출_총금액,전체_총소비,2524096750.0,2374429221.0,149667529.0,6.3,0.079
11470590,신월4동,양천구,지출_총금액,전체_총소비,3385364250.0,2152561318.0,1232802932.0,57.27,0.588
11470600,신월5동,양천구,지출_총금액,전체_총소비,3439038000.0,1356879652.0,2082158348.0,153.45,1.208
11470610,신월6동,양천구,지출_총금액,전체_총소비,2466963000.0,1317412643.0,1149550357.0,87.26,0.815
11470611,신월7동,양천구,지출_총금액,전체_총소비,2150100250.0,2325054882.0,-174954632.0,-7.52,-0.102
11470620,신정1동,양천구,지출_총금액,전체_총소비,4279372000.0,5848491166.0,-1569119166.0,-26.83,-0.406
11470630,신정2동,양천구,지출_총금액,전체_총소비,4251773250.0,3766928496.0,484844754.0,12.87,0.157
